image_key,ranSel_key,sample_order,camera,file,image_number,operation_id,platfrom,source_path,random_seed,sample_size,sample_base,scorable,quadrat,copied,dest_file,total_pairs,RanSelNo,OpsNo,ImageNo
015_0507,015_050,50,SCS,MRITC_SCS_IN2018_V06_015_20181125T061542Z_0507.JPG,507,IN2018_V06_015,MRITC,NA,3245,264,132,OS,FALSE,FALSE,S050_MRITC_SCS_IN2018_V06_015_20181125T061542Z_0507.JPG,527,50,15,507
021_0160,021_050,50,SCS,MRITC_SCS_IN2018_V06_021_20181126T023952Z_0160.JPG,160,IN2018_V06_021,MRITC,NA,4073,90,45,OS,FALSE,FALSE,S050_MRITC_SCS_IN2018_V06_021_20181126T023952Z_0160.JPG,180,50,21,160
014_0064,014_051,51,SCS,MRITC_SCS_IN2018_V06_014_20181125T025254Z_0064.JPG,64,IN2018_V06_014,MRITC,NA,2966,82,41,OS,FALSE,FALSE,S051_MRITC_SCS_IN2018_V06_014_20181125T025254Z_0064.JPG,163,51,14,64
022_0137,022_051,51,SCS,MRITC_SCS_IN2018_V06_022_20181126T045125Z_0137.JPG,137,IN2018_V06_022,MRITC,NA,5451,101,51,OS,FALSE,FALSE,S051_MRITC_SCS_IN2018_V06_022_20181126T045125Z_0137.JPG,201,51,22,137
012_0200,012_052,52,SCS,MRITC_SCS_IN2018_V06_012_20181124T233917Z_0200.JPG,200,IN2018_V06_012,MRITC,NA,7165,132,66,OS,FALSE,FALSE,S052_MRITC_SCS_IN2018_V06_012_20181124T233917Z_0200.JPG,263,52,12,200
013_0046,013_052,52,SCS,MRITC_SCS_IN2018_V06_013_20181125T021721Z_0046.JPG,46,IN2018_V06_013,MRITC,NA,7222,110,55,OS,FALSE,FALSE,S052_MRITC_SCS_IN2018_V06_013_20181125T021721Z_0046.JPG,219.5,52,13,46
015_0029,015_052,52,SCS,MRITC_SCS_IN2018_V06_015_20181125T051212Z_0029.JPG,29,IN2018_V06_015,MRITC,NA,3245,264,132,OS,FALSE,FALSE,S052_MRITC_SCS_IN2018_V06_015_20181125T051212Z_0029.JPG,527,52,15,29
021_0014,021_052,52,SCS,MRITC_SCS_IN2018_V06_021_20181126T021532Z_0014.JPG,14,IN2018_V06_021,MRITC,NA,4073,90,45,OS,FALSE,FALSE,S052_MRITC_SCS_IN2018_V06_021_20181126T021532Z_0014.JPG,180,52,21,14
015_0557,015_053,53,SCS,MRITC_SCS_IN2018_V06_015_20181125T062402Z_0557.JPG,557,IN2018_V06_015,MRITC,NA,3245,264,132,OS,FALSE,FALSE,S053_MRITC_SCS_IN2018_V06_015_20181125T062402Z_0557.JPG,527,53,15,557
022_0087,022_053,53,SCS,MRITC_SCS_IN2018_V06_022_20181126T043445Z_0087.JPG,87,IN2018_V06_022,MRITC,NA,5451,101,51,OS,FALSE,FALSE,S053_MRITC_SCS_IN2018_V06_022_20181126T043445Z_0087.JPG,201,53,22,87
012_0035,012_054,54,SCS,MRITC_SCS_IN2018_V06_012_20181124T231732Z_0035.JPG,35,IN2018_V06_012,MRITC,NA,7165,132,66,OS,FALSE,FALSE,S054_MRITC_SCS_IN2018_V06_012_20181124T231732Z_0035.JPG,263,54,12,35
013_0156,013_054,54,SCS,MRITC_SCS_IN2018_V06_013_20181125T023136Z_0156.JPG,156,IN2018_V06_013,MRITC,NA,7222,110,55,OS,FALSE,FALSE,S054_MRITC_SCS_IN2018_V06_013_20181125T023136Z_0156.JPG,219.5,54,13,156
021_0104,021_054,54,SCS,MRITC_SCS_IN2018_V06_021_20181126T023032Z_0104.JPG,104,IN2018_V06_021,MRITC,NA,4073,90,45,OS,FALSE,FALSE,S054_MRITC_SCS_IN2018_V06_021_20181126T023032Z_0104.JPG,180,54,21,104
012_0298,012_055,55,SCS,MRITC_SCS_IN2018_V06_012_20181124T235042Z_0298.JPG,298,IN2018_V06_012,MRITC,NA,7165,132,66,OS,FALSE,FALSE,S055_MRITC_SCS_IN2018_V06_012_20181124T235042Z_0298.JPG,263,55,12,298
014_0013,014_055,55,SCS,MRITC_SCS_IN2018_V06_014_20181125T024444Z_0013.JPG,13,IN2018_V06_014,MRITC,NA,2966,82,41,OS,FALSE,FALSE,S055_MRITC_SCS_IN2018_V06_014_20181125T024444Z_0013.JPG,163,55,14,13
022_0188,022_055,55,SCS,MRITC_SCS_IN2018_V06_022_20181126T050825Z_0188.JPG,188,IN2018_V06_022,MRITC,NA,5451,101,51,OS,FALSE,FALSE,S055_MRITC_SCS_IN2018_V06_022_20181126T050825Z_0188.JPG,201,55,22,188
012_0167,012_056,56,SCS,MRITC_SCS_IN2018_V06_012_20181124T233602Z_0167.JPG,167,IN2018_V06_012,MRITC,NA,7165,132,66,OS,FALSE,FALSE,S056_MRITC_SCS_IN2018_V06_012_20181124T233602Z_0167.JPG,263,56,12,167
013_0101,013_056,56,SCS,MRITC_SCS_IN2018_V06_013_20181125T022421Z_0101.JPG,101,IN2018_V06_013,MRITC,NA,7222,110,55,OS,FALSE,FALSE,S056_MRITC_SCS_IN2018_V06_013_20181125T022421Z_0101.JPG,219.5,56,13,101
014_0177,014_056,56,SCS,MRITC_SCS_IN2018_V06_014_20181125T030834Z_0177.JPG,177,IN2018_V06_014,MRITC,NA,2966,82,41,OS,FALSE,FALSE,S056_MRITC_SCS_IN2018_V06_014_20181125T030834Z_0177.JPG,163,56,14,177
015_0161,015_056,56,SCS,MRITC_SCS_IN2018_V06_015_20181125T052827Z_0161.JPG,161,IN2018_V06_015,MRITC,NA,3245,264,132,OS,FALSE,FALSE,S056_MRITC_SCS_IN2018_V06_015_20181125T052827Z_0161.JPG,527,56,15,161
021_0059,021_056,56,SCS,MRITC_SCS_IN2018_V06_021_20181126T022302Z_0059.JPG,59,IN2018_V06_021,MRITC,NA,4073,90,45,OS,FALSE,FALSE,S056_MRITC_SCS_IN2018_V06_021_20181126T022302Z_0059.JPG,180,56,21,59
